|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |DRegiste|
|0+  |     0|0011000000111001|  0  |      0|   0   |    0|    0|      0 |
|1   |     0|0011000000111001|  0  |      0|   0   |    0|    1|      0 |
|1+  |     0|1110110000010000|  0  |      0|   0   |    0|    1|      0 |
|2   |     0|1110110000010000|  0  |      0|   0   |    0|    0|      0 |
|2+  |     0|0101101110100000|  0  |      1|   0   |    0|    0|      1 |
|3   |     0|0101101110100000|  0  |      2|   0   |    0|    1|      1 |
|3+  |     0|1110000111010000|  0  |     -1|   0   |    0|    1|      1 |
|4   |     0|1110000111010000|  0  |     -1|   0   |    0|32767|      1 |
|4+  |     0|0000001111101000|  0  |      2|   0   |    0|32767|      1 |
|5   |     0|0000001111101000|  0  |      2|   0   |    0|    0|      1 |
|5+  |     0|1110001100001000|  0  |     -2|   0   |    0|    0|      1 |
|6   |     0|1110001100001000|  0  |     -2|   0   |    0|32766|      1 |
|6+  |     0|0000001111101001|  0  |      2|   0   |    0|32766|      1 |
|7   |     0|0000001111101001|  0  |      2|   0   |    0|32767|      1 |
|7+  |     0|1110001110011000|  0  |      0|   0   |    0|32767|      1 |
|8   |     0|1110001110011000|  0  |      0|   0   |    0|    0|      1 |
|8+  |     0|0000001111101000|  0  |      2|   0   |    0|    0|      1 |
|9   |     0|0000001111101000|  0  |      2|   0   |    0|    1|      1 |
|9+  | 11111|1111010011010000|  0  |      0|   0   |    0|    1|      1 |
|10  | 11111|1111010011010000|  0  |      0|   0   |    0|    0|      1 |
|10+ | 11111|0000000000001110|  0  |      1|   0   |    0|    0|      1 |
|11  | 11111|0000000000001110|  0  |      1|   0   |    0|    1|      1 |
|11+ | 11111|1110001100000100|  0  |     -2|   0   |    0|    1|      1 |
|12  | 11111|1110001100000100|  0  |     -2|   0   |    0|32766|      1 |
|12+ | 11111|0000001111100111|  0  |      2|   0   |    0|32766|      1 |
|13  | 11111|0000001111100111|  0  |      2|   0   |    0|32767|      1 |
|13+ | 11111|1110110111100000|  0  |     -3|   0   |    0|32767|     -3 |
|14  | 11111|1110110111100000|  0  |      1|   0   |32765|32765|     -3 |
|14+ | 11111|1110001100001000|  0  | -11109|   0   |32765|32765|     -3 |
|15  | 11111|1110001100001000|  0  | -11109|   0   |32765|21659|     -3 |
|15+ | 11111|0000000000010101|  0  |      0|   0   |32765|21659|     -3 |
|16  | 11111|0000000000010101|  0  |      0|   0   |32765|21660|     -3 |
|16+ | 11111|1110011111000010|  0  |      3|   0   |32765|21660|     -3 |
|17  | 11111|1110011111000010|  0  |      3|   0   |    3|    3|     -3 |
|17+ | 11111|0000000000000010|  0  |      1|   0   |    3|    3|     -3 |
|18  | 11111|0000000000000010|  0  |      1|   0   |    3|    4|     -3 |
|18+ | 11111|1110000010010000|  0  |      0|   0   |    3|    4|     -3 |
|19  | 11111|1110000010010000|  0  |      0|   0   |    3|    0|     -3 |
|19+ | 11111|0000001111101000|  0  |     -2|   0   |    3|    0|     -3 |
|20  | 11111|0000001111101000|  0  |     -2|   0   |    3|    1|     -3 |
|20+ | 11111|1110111010010000|  0  |     -1|   0   |    3|    1|     -1 |
